"Ticket created - Year";"Ticket created - Month";"Created";"Solved tickets"
"2022";"January";"";""
"2022";"February";"";""
"2022";"March";"";""
"2022";"April";"";""
"2022";"May";"";""
"2022";"June";"";""
"2022";"July";"";""
"2022";"August";"";""
"2022";"September";"";""
"2022";"October";"";""
"2022";"November";"318.00000000000000000000";"318.00000000000000000000"
"2022";"December";"330.00000000000000000000";"330.00000000000000000000"
"2023";"January";"281.00000000000000000000";"281.00000000000000000000"
"2023";"February";"259.00000000000000000000";"259.00000000000000000000"
"2023";"March";"263.00000000000000000000";"263.00000000000000000000"
"2023";"April";"286.00000000000000000000";"286.00000000000000000000"
"2023";"May";"299.00000000000000000000";"299.00000000000000000000"
"2023";"June";"311.00000000000000000000";"311.00000000000000000000"
"2023";"July";"264.00000000000000000000";"264.00000000000000000000"
"2023";"August";"356.00000000000000000000";"356.00000000000000000000"
"2023";"September";"938.00000000000000000000";"938.00000000000000000000"
"2023";"October";"968.00000000000000000000";"968.00000000000000000000"
"2023";"November";"1060.00000000000000000000";"1060.00000000000000000000"
"2023";"December";"481.00000000000000000000";"481.00000000000000000000"
"2024";"January";"317.00000000000000000000";"317.00000000000000000000"
"2024";"February";"262.00000000000000000000";"262.00000000000000000000"
"2024";"March";"282.00000000000000000000";"282.00000000000000000000"
"2024";"April";"308.00000000000000000000";"308.00000000000000000000"
"2024";"May";"285.00000000000000000000";"285.00000000000000000000"
"2024";"June";"247.00000000000000000000";"247.00000000000000000000"
"2024";"July";"229.00000000000000000000";"229.00000000000000000000"
"2024";"August";"249.00000000000000000000";"249.00000000000000000000"
"2024";"September";"237.00000000000000000000";"237.00000000000000000000"
"2024";"October";"239.00000000000000000000";"239.00000000000000000000"
"2024";"November";"242.00000000000000000000";"242.00000000000000000000"
"2024";"December";"216.00000000000000000000";"216.00000000000000000000"
"2025";"January";"215.00000000000000000000";"215.00000000000000000000"
"2025";"February";"255.00000000000000000000";"255.00000000000000000000"
"2025";"March";"248.00000000000000000000";"248.00000000000000000000"
"2025";"April";"225.00000000000000000000";"225.00000000000000000000"
"2025";"May";"228.00000000000000000000";"228.00000000000000000000"
"2025";"June";"257.00000000000000000000";"257.00000000000000000000"
"2025";"July";"250.00000000000000000000";"250.00000000000000000000"
"2025";"August";"276.00000000000000000000";"276.00000000000000000000"
"2025";"September";"259.00000000000000000000";"255.00000000000000000000"
"2025";"October";"233.00000000000000000000";"231.00000000000000000000"
"2025";"November";"272.00000000000000000000";"263.00000000000000000000"
"2025";"December";"";""
